coverage_oracle,length_oracle,coverage_soft,length_soft,coverage_ignore,length_ignore,len_ratio_soft,len_ratio_ignore,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,rho,sigma_y,b_scale,use_x_in_em,em_converged,em_iter,em_loglik
0.9046666666666666,6.714476885214944,0.902,6.723333379515329,0.8943333333333333,6.628314389671129,1.0013190147872706,0.98716765326372,0.7077934457963445,8.854640770819927,2.3372823104656155,1,10,2.0,0.0,2.0,1.0,False,True,60,-21667.076594363167
0.9123333333333333,6.797888770743015,0.9113333333333333,6.965108950202492,0.9093333333333333,6.929394933387926,1.0245988401839061,1.0193451477480615,0.7324027486939869,9.86475358302439,2.1484570423592833,1,10,2.0,0.0,2.0,1.0,True,True,76,-31842.169025432282
0.907,10.069555937824827,0.91,10.237080088328174,0.9036666666666666,10.114616804191073,1.0166366969445064,1.0044749606283014,0.7062898975361332,9.893159685503301,2.249466298306791,1,10,2.0,0.0,3.0,1.0,False,True,114,-21911.053417833034
0.908,9.964572828086089,0.9083333333333333,9.997763980955568,0.9056666666666666,9.956850869468822,1.0033309157795431,0.9992250587405511,0.7372058688776824,9.837882185040561,2.2054447805278135,1,10,2.0,0.0,3.0,1.0,True,True,80,-31951.315808862026
0.9063333333333333,3.336581940586032,0.9123333333333333,3.8782137124167186,0.9133333333333333,4.061315298179262,1.1623313263319872,1.2172083199209365,0.7295317691220395,10.470611324534792,3.595153171791084,1,10,3.0,0.0,1.0,1.0,False,True,71,-22898.74302161469
0.9023333333333333,3.2887314766657,0.894,3.4895793617727633,0.8996666666666666,3.541877636158899,1.0610715367101646,1.076973800168645,0.745922691141006,10.934401257221138,3.875506643668165,1,10,3.0,0.0,1.0,1.0,True,True,71,-32902.04872886716
0.904,6.597196677301353,0.8966666666666666,6.705740209112913,0.9,6.874085827752142,1.016452978002766,1.0419707284767585,0.7517289141235418,9.599254197717977,3.465306648262054,1,10,3.0,0.0,2.0,1.0,False,True,98,-22928.78554827154
0.8906666666666667,6.607148895612691,0.8986666666666666,6.964352062273361,0.899,7.08493840864469,1.0540631325711247,1.0723140223689014,0.7594616353034589,8.269406652802992,3.815876549536284,1,10,3.0,0.0,2.0,1.0,True,True,91,-32881.16759357888
0.9,9.865088028617487,0.8953333333333333,9.990790630872755,0.8966666666666666,10.081556315584798,1.0127421673167658,1.021942864203478,0.7337086849640345,9.742332575014323,3.5374327135665142,1,10,3.0,0.0,3.0,1.0,False,True,135,-22898.405818208572
0.8756666666666667,9.50194744998982,0.874,9.681258208755496,0.8726666666666667,9.749820279340327,1.0188709482671225,1.0260865291725825,0.758864612680524,10.484289097258793,3.887268219973377,1,10,3.0,0.0,3.0,1.0,True,True,88,-33009.569073154584
0.9006666666666666,3.3636764093258744,0.911,4.109588807639988,0.9166666666666666,4.6378602204820085,1.221755099939475,1.3788068934405904,0.8565907337418571,9.702967194183792,2.9642720838891123,1,10,4.0,0.0,1.0,1.0,False,True,38,-23790.31445140259
0.891,3.252529671938052,0.8983333333333333,4.003189425486786,0.8936666666666667,4.349997391819498,1.2307925920016116,1.33741974111723,0.8504748627035721,10.025325451056196,3.5687804386360096,1,10,4.0,0.0,1.0,1.0,True,True,83,-33930.91323042374
0.8983333333333333,6.441976236392386,0.896,6.575654237069696,0.8973333333333333,6.876636993564218,1.020751085656313,1.0674732009590973,0.8762061716391972,7.134211873891995,2.1825411285028893,1,10,4.0,0.0,2.0,1.0,False,True,16,-23806.740502053137
0.9133333333333333,6.853678786056651,0.912,6.908147599778695,0.9083333333333333,7.145672631862647,1.0079473835034196,1.0426039583880176,0.8544144147880379,7.347252312404714,2.8092752941499843,1,10,4.0,0.0,2.0,1.0,True,True,28,-33987.94122183106
0.906,10.055864386896873,0.9023333333333333,10.057284749457839,0.901,10.323287889312112,1.0001412471873443,1.0265937856882499,0.8655191802558442,10.009753361011178,2.083777698545355,1,10,4.0,0.0,3.0,1.0,False,True,25,-23814.394095247244
